天津联通,#genre#
天津卫视,http://nas.hssvm.com:8888/udp/225.1.1.111:5002
天津-1新闻,http://nas.hssvm.com:8888/udp/225.1.1.130:5002
天津-2文艺,http://nas.hssvm.com:8888/udp/225.1.1.131:5002
天津-3影视,http://nas.hssvm.com:8888/udp/225.1.1.149:5002
天津-4都市,http://nas.hssvm.com:8888/udp/225.1.1.128:5002
天津-5体育,http://nas.hssvm.com:8888/udp/225.1.1.122:5002
天津-6教育,http://nas.hssvm.com:8888/udp/225.1.1.129:5002
河东有线 SD,http://nas.hssvm.com:8888/udp/225.1.2.2:5002
河西有线 SD,http://nas.hssvm.com:8888/udp/225.1.2.4:5002
静海区 SD,http://nas.hssvm.com:8888/udp/225.1.1.110:5002
宝坻区 SD,http://nas.hssvm.com:8888/udp/225.1.1.83:5002
蓟州区,http://nas.hssvm.com:8888/udp/225.1.1.82:5002
滨海-1 SD,http://nas.hssvm.com:8888/udp/225.1.2.7:5002
滨海-2 SD,http://nas.hssvm.com:8888/udp/225.1.2.8:5002
大港油田,http://nas.hssvm.com:8888/udp/225.1.2.14:5002
CCTV-1综合,http://nas.hssvm.com:8888/udp/225.1.1.120:5002
CCTV-2财经,http://nas.hssvm.com:8888/udp/225.1.1.133:5002
CCTV-3综艺,http://nas.hssvm.com:8888/udp/225.1.1.158:5002
CCTV-4中文国际,http://nas.hssvm.com:8888/udp/225.1.1.150:5002
CCTV-5体育,http://nas.hssvm.com:8888/udp/225.1.1.160:5002
CCTV-5+体育赛事,http://nas.hssvm.com:8888/udp/225.1.1.121:5002
CCTV-6电影,http://nas.hssvm.com:8888/udp/225.1.1.195:5002
CCTV-7国防军事,http://nas.hssvm.com:8888/udp/225.1.1.138:5002
CCTV-8电视剧,http://nas.hssvm.com:8888/udp/225.1.1.196:5002
CCTV-9记录,http://nas.hssvm.com:8888/udp/225.1.1.119:5002
CCTV-10科教,http://nas.hssvm.com:8888/udp/225.1.1.140:5002
CCTV-11戏曲,http://nas.hssvm.com:8888/udp/225.1.2.192:5002
CCTV-12社会与法,http://nas.hssvm.com:8888/udp/225.1.1.142:5002
CCTV-13新闻,http://nas.hssvm.com:8888/udp/225.1.2.193:5002
CCTV-14少儿,http://nas.hssvm.com:8888/udp/225.1.1.144:5002
CCTV-15音乐,http://nas.hssvm.com:8888/udp/225.1.2.194:5002
CCTV-16奥林匹克,http://nas.hssvm.com:8888/udp/225.1.2.237:5002
CCTV-17农业农村,http://nas.hssvm.com:8888/udp/225.1.2.52:5002
CGTN SD,http://nas.hssvm.com:8888/udp/225.1.1.27:5002
CGTN Documentary SD,http://nas.hssvm.com:8888/udp/225.1.1.55:5002
CCTV卫生健康,http://nas.hssvm.com:8888/udp/225.1.2.165:5002
CCTV兵器科技,http://nas.hssvm.com:8888/udp/225.1.2.166:5002
CCTV电视指南,http://nas.hssvm.com:8888/udp/225.1.2.167:5002
CCTV风云足球,http://nas.hssvm.com:8888/udp/225.1.2.168:5002
CCTV高尔夫网球,http://nas.hssvm.com:8888/udp/225.1.2.169:5002
CCTV央视台球,http://nas.hssvm.com:8888/udp/225.1.2.170:5002
CCTV世界地理,http://nas.hssvm.com:8888/udp/225.1.2.171:5002
CCTV女性时尚,http://nas.hssvm.com:8888/udp/225.1.2.172:5002
CCTV怀旧剧场,http://nas.hssvm.com:8888/udp/225.1.2.173:5002
CCTV风云剧场,http://nas.hssvm.com:8888/udp/225.1.2.174:5002
CCTV第一剧场,http://nas.hssvm.com:8888/udp/225.1.2.175:5002
CCTV风云音乐,http://nas.hssvm.com:8888/udp/225.1.2.176:5002
CCTV央视文化精品,http://nas.hssvm.com:8888/udp/225.1.2.177:5002
中央新影发现之旅 SD,http://nas.hssvm.com:8888/udp/225.1.1.183:5002
中央新影老故事 SD,http://nas.hssvm.com:8888/udp/225.1.1.188:5002
中央新影中学生 SD,http://nas.hssvm.com:8888/udp/225.1.1.193:5002
湖南卫视,http://nas.hssvm.com:8888/udp/225.1.1.114:5002
江苏卫视,http://nas.hssvm.com:8888/udp/225.1.1.126:5002
浙江卫视,http://nas.hssvm.com:8888/udp/225.1.1.112:5002
上海东方卫视,http://nas.hssvm.com:8888/udp/225.1.2.31:5002
安徽卫视,http://nas.hssvm.com:8888/udp/225.1.1.127:5002
北京卫视,http://nas.hssvm.com:8888/udp/225.1.1.113:5002
辽宁卫视,http://nas.hssvm.com:8888/udp/225.1.1.154:5002
吉林卫视,http://nas.hssvm.com:8888/udp/225.1.2.26:5002
黑龙江卫视,http://nas.hssvm.com:8888/udp/225.1.1.115:5002
广东卫视,http://nas.hssvm.com:8888/udp/225.1.1.116:5002
深圳卫视,http://nas.hssvm.com:8888/udp/225.1.1.117:5002
福建东南卫视,#http://nas.hssvm.com:8888/udp/225.1.2.235:5002
四川卫视,http://nas.hssvm.com:8888/udp/225.1.1.123:5002
重庆卫视,http://nas.hssvm.com:8888/udp/225.1.1.155:5002
湖北卫视,http://nas.hssvm.com:8888/udp/225.1.1.147:5002
山东卫视,#http://nas.hssvm.com:8888/udp/225.1.1.148:5002
河南卫视,http://nas.hssvm.com:8888/udp/225.1.2.61:5002
河北卫视,http://nas.hssvm.com:8888/udp/225.1.2.27:5002
江西卫视,http://nas.hssvm.com:8888/udp/225.1.2.29:5002
云南卫视,http://nas.hssvm.com:8888/udp/225.1.1.250:5002
贵州卫视,http://nas.hssvm.com:8888/udp/225.1.2.28:5002
甘肃卫视,http://nas.hssvm.com:8888/udp/225.1.1.159:5002
广西卫视,http://nas.hssvm.com:8888/udp/225.1.2.81:5002
海南卫视,http://nas.hssvm.com:8888/udp/225.1.2.82:5002
三沙卫视,http://nas.hssvm.com:8888/udp/225.1.1.182:5002
内蒙古卫视 SD,http://nas.hssvm.com:8888/udp/225.1.1.32:5002
新疆卫视 SD,http://nas.hssvm.com:8888/udp/225.1.1.35:5002
陕西卫视 SD,http://nas.hssvm.com:8888/udp/225.1.1.41:5002
山西卫视 SD,http://nas.hssvm.com:8888/udp/225.1.1.50:5002
西藏卫视 SD,http://nas.hssvm.com:8888/udp/225.1.1.51:5002
青海卫视 SD,http://nas.hssvm.com:8888/udp/225.1.1.54:5002
宁夏卫视 SD,http://nas.hssvm.com:8888/udp/225.1.1.56:5002
兵团卫视 SD,http://nas.hssvm.com:8888/udp/225.1.1.57:5002
冬奥纪实,#http://nas.hssvm.com:8888/udp/225.1.2.30:5002
纪实人文,http://nas.hssvm.com:8888/udp/225.1.2.25:5002
金鹰纪实,http://nas.hssvm.com:8888/udp/225.1.1.124:5002
CHC影迷电影,http://nas.hssvm.com:8888/udp/225.1.1.214:5002
CHC家庭影院,http://nas.hssvm.com:8888/udp/225.1.1.213:5002
CHC动作电影,http://nas.hssvm.com:8888/udp/225.1.1.215:5002
动漫秀场,http://nas.hssvm.com:8888/udp/225.1.1.134:5002
游戏风云,http://nas.hssvm.com:8888/udp/225.1.1.135:5002
魅力足球,http://nas.hssvm.com:8888/udp/225.1.1.137:5002
劲爆体育,#http://nas.hssvm.com:8888/udp/225.1.1.136:5002
魅力音乐,#http://nas.hssvm.com:8888/udp/225.1.1.137:5002
欢笑剧场,http://nas.hssvm.com:8888/udp/225.1.1.139:5002
欢笑剧场4K,http://nas.hssvm.com:8888/udp/225.1.1.152:5002
东方财经,http://nas.hssvm.com:8888/udp/225.1.1.247:5002
生活时尚,http://nas.hssvm.com:8888/udp/225.1.1.143:5002
乐游,http://nas.hssvm.com:8888/udp/225.1.1.145:5002
都市剧场,http://nas.hssvm.com:8888/udp/225.1.1.146:5002
法治天地,http://nas.hssvm.com:8888/udp/225.1.1.237:5002
金色学堂,http://nas.hssvm.com:8888/udp/225.1.1.236:5002
快乐垂钓,http://nas.hssvm.com:8888/udp/225.1.2.18:5002
茶频道,http://nas.hssvm.com:8888/udp/225.1.2.19:5002
梨园频道,http://nas.hssvm.com:8888/udp/225.1.2.104:5002
文物宝库,http://nas.hssvm.com:8888/udp/225.1.2.105:5002
武术世界,http://nas.hssvm.com:8888/udp/225.1.2.129:5002
中华美食,http://nas.hssvm.com:8888/udp/225.1.1.77:5002
陶瓷,http://nas.hssvm.com:8888/udp/225.1.2.189:5002
早期教育,http://nas.hssvm.com:8888/udp/225.1.2.207:5002
金鹰卡通,http://nas.hssvm.com:8888/udp/225.1.2.236:5002
KAKU少儿 SD,http://nas.hssvm.com:8888/udp/225.1.1.58:5002
哈哈炫动 SD,http://nas.hssvm.com:8888/udp/225.1.1.62:5002
新动漫 SD,http://nas.hssvm.com:8888/udp/225.1.1.216:5002
先锋乒羽 SD,http://nas.hssvm.com:8888/udp/225.1.1.219:5002
环球奇观 SD,http://nas.hssvm.com:8888/udp/225.1.1.197:5002
汽摩 SD,http://nas.hssvm.com:8888/udp/225.1.1.205:5002
书画频道 SD,http://nas.hssvm.com:8888/udp/225.1.2.22:5002
家庭理财 SD,http://nas.hssvm.com:8888/udp/225.1.2.23:5002
中华特产 SD,http://nas.hssvm.com:8888/udp/225.1.2.197:5002
财富天下 SD,http://nas.hssvm.com:8888/udp/225.1.2.198:5002
车迷频道 SD,http://nas.hssvm.com:8888/udp/225.1.2.199:5002
环球旅游 SD,http://nas.hssvm.com:8888/udp/225.1.2.200:5002
生态环境 SD,http://nas.hssvm.com:8888/udp/225.1.2.201:5002
四海钓鱼 SD,http://nas.hssvm.com:8888/udp/225.1.2.202:5002
